Name,wikipedia,Hex,Red,Green,Blue,Hue,Saturation,Light,Saturation(HSV),Value
Royal fuchsia,https://en.wikipedia.org/wiki/Fuchsia_(color)#Royal_fuchsia,#CA2C92,79%,17%,57%,321°,64%,48%,78%,79%
Royal purple,https://en.wikipedia.org/wiki/Shades_of_purple#Royal_purple:_1600s,#7851A9,47%,32%,66%,267°,35%,49%,52%,66%
Royal yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Royal_yellow,#FADA5E,98%,85%,37%,48°,94%,67%,62%,98%
Ruber,https://en.wikipedia.org/wiki/Ruby_(color)#Ruber,#CE4676,81%,27%,46%,339°,58%,54%,66%,81%
Rubine red,https://en.wikipedia.org/wiki/Ruby_(color)#Rubine_red,#D10056,82%,0%,34%,335°,100%,41%,100%,82%
Ruby,https://en.wikipedia.org/wiki/Ruby_(color),#E0115F,88%,7%,37%,337°,86%,47%,92%,88%
Ruby red,https://en.wikipedia.org/wiki/Ruby_(color)#Ruby_red,#9B111E,61%,7%,12%,354°,80%,34%,89%,61%
Ruddy,https://en.wikipedia.org/wiki/Ruddy,#FF0028,100%,0%,16%,351°,100%,50%,100%,100%
Ruddy brown,https://en.wikipedia.org/wiki/Ruddy#Ruddy_brown,#BB6528,73%,40%,16%,25°,65%,45%,79%,73%
Ruddy pink,https://en.wikipedia.org/wiki/Ruddy#Ruddy_pink,#E18E96,88%,56%,59%,354°,58%,72%,37%,88%
Rufous,https://en.wikipedia.org/wiki/Rufous,#A81C07,66%,11%,3%,8°,92%,34%,96%,66%
Russet,https://en.wikipedia.org/wiki/Russet_(color),#80461B,50%,27%,11%,26°,65%,30%,79%,50%
Russian green,https://en.wikipedia.org/wiki/Shades_of_green#Russian_green,#679267,40%,57%,40%,120°,17%,49%,29%,57%
Russian violet,https://en.wikipedia.org/wiki/Shades_of_violet#Russian_violet,#32174D,20%,9%,30%,270°,54%,20%,70%,30%
Rust,https://en.wikipedia.org/wiki/Rust_(color),#B7410E,72%,25%,5%,18°,86%,39%,92%,72%
Rusty red,https://en.wikipedia.org/wiki/Shades_of_red#Rusty_red,#DA2C43,85%,17%,26%,352°,70%,51%,80%,85%
Sacramento State green,https://en.wikipedia.org/wiki/Shades_of_green#Sacramento_State_green,#00563F,0%,34%,25%,164°,100%,17%,100%,34%
Saddle brown,https://en.wikipedia.org/wiki/X11_color_names#Color_name_charts,#8B4513,55%,27%,7%,25°,76%,31%,86%,55%
Safety orange,https://en.wikipedia.org/wiki/Safety_orange,#FF7800,100%,47%,0%,28°,100%,50%,100%,100%
Safety orange (blaze orange),https://en.wikipedia.org/wiki/Safety_orange,#FF6700,100%,40%,0%,24°,100%,50%,100%,100%
Safety yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Safety_yellow,#EED202,93%,82%,1%,53°,98%,47%,99%,93%
Saffron,https://en.wikipedia.org/wiki/Saffron_(color),#F4C430,96%,77%,19%,45°,90%,57%,80%,96%
Sage,https://en.wikipedia.org/wiki/Sage_(color),#BCB88A,74%,72%,54%,55°,27%,64%,27%,74%
St. Patrick's blue,https://en.wikipedia.org/wiki/St._Patrick%27s_blue,#23297A,14%,16%,48%,236°,55%,31%,71%,48%
Salmon,https://en.wikipedia.org/wiki/Salmon_(color),#FA8072,98%,50%,45%,6°,93%,71%,54%,98%
Salmon pink,https://en.wikipedia.org/wiki/Salmon_pink,#FF91A4,100%,57%,64%,350°,100%,78%,43%,100%
Sand,https://en.wikipedia.org/wiki/Desert_sand_(color)#Sand,#C2B280,76%,70%,50%,45°,35%,63%,34%,76%
Sand dune,https://en.wikipedia.org/wiki/Desert_sand_(color)#Sand_dune_.28Drab.29,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Sandstorm,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#ECD540,93%,84%,25%,52°,82%,59%,73%,93%
Sandy brown,https://en.wikipedia.org/wiki/Sandy_brown,#F4A460,96%,64%,38%,28°,87%,67%,61%,96%
Sandy Tan,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#FDD9B5,99%,85%,71%,30°,95%,85%,28%,99%
Sandy taupe,https://en.wikipedia.org/wiki/Taupe#Sandy_taupe,#967117,59%,44%,9%,43°,73%,34%,85%,59%
Sangria,https://en.wikipedia.org/wiki/Sangria,#92000A,57%,0%,4%,356°,100%,29%,100%,57%
Sap green,https://en.wikipedia.org/wiki/Shades_of_green#Sap_green,#507D2A,31%,49%,16%,93°,50%,33%,66%,49%
Sapphire,https://en.wikipedia.org/wiki/Sapphire_(color)#Sapphire,#0F52BA,6%,32%,73%,216°,85%,39%,92%,73%
Sapphire blue,https://en.wikipedia.org/wiki/Sapphire_(color)#Sapphire_blue,#0067A5,0%,40%,65%,203°,100%,32%,100%,65%
Sasquatch Socks,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FF4681,100%,27%,51%,341°,100%,64%,73%,100%
Satin sheen gold,https://en.wikipedia.org/wiki/Gold_(color)#Satin_sheen_gold,#CBA135,80%,63%,21%,43°,59%,50%,74%,80%
Scarlet,https://en.wikipedia.org/wiki/Scarlet_(color),#FF2400,100%,14%,0%,8°,100%,50%,100%,100%
Scarlet,https://en.wikipedia.org/wiki/Scarlet_(color)#Torch_red,#FD0E35,99%,5%,21%,350°,98%,52%,94%,99%
Schauss pink,https://en.wikipedia.org/wiki/Baker-Miller_Pink,#FF91AF,100%,57%,69%,344°,100%,78%,43%,100%
School bus yellow,https://en.wikipedia.org/wiki/School_bus_yellow,#FFD800,100%,85%,0%,51°,100%,50%,100%,100%
Screamin' Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Fluorescent_crayons,#66FF66,40%,100%,40%,120°,100%,70%,60%,100%
Sea blue,https://en.wikipedia.org/wiki/Shades_of_blue#Sea_blue,#006994,0%,41%,58%,197°,100%,29%,100%,58%
Sea Foam Green,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#9FE2BF,76%,89%,75%,149°,38%,82%,30%,89%
Sea green,https://en.wikipedia.org/wiki/Shades_of_green#Sea_green,#2E8B57,18%,55%,34%,146°,50%,36%,67%,55%
Sea Serpent,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#4BC7CF,29%,78%,81%,184°,58%,55%,64%,81%
Seal brown,https://en.wikipedia.org/wiki/Seal_brown,#59260B,20%,8%,8%,0°,43%,14%,60%,20%
Seashell,https://en.wikipedia.org/wiki/Seashell_(color),#FFF5EE,100%,96%,93%,25°,100%,97%,7%,100%
Selective yellow,https://en.wikipedia.org/wiki/Selective_yellow,#FFBA00,100%,73%,0%,44°,100%,50%,100%,100%
Sepia,https://en.wikipedia.org/wiki/Sepia_(color),#704214,44%,26%,8%,30°,70%,26%,82%,44%
Shadow,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#8A795D,54%,47%,36%,37°,19%,45%,33%,54%
Shadow blue,https://en.wikipedia.org/wiki/Blue-gray#Shadow_blue,#778BA5,47%,55%,65%,214°,20%,56%,28%,65%
Shampoo,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#FFCFF1,100%,81%,95%,318°,100%,91%,19%,100%
Shamrock green,https://en.wikipedia.org/wiki/Shades_of_green#Shamrock_green,#009E60,0%,62%,38%,156°,100%,31%,100%,62%
Sheen Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#8FD400,56%,83%,0%,80°,100%,42%,100%,83%
Shimmering Blush,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Metallic_FX,#D98695,85%,53%,58%,349°,52%,69%,38%,85%
Shiny Shamrock,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#5FA778,37%,65%,47%,141°,29%,51%,43%,66%
Shocking pink,https://en.wikipedia.org/wiki/Shades_of_pink#Shocking_pink,#FC0FC0,99%,6%,75%,315°,98%,52%,94%,99%
Shocking pink (Crayola),https://en.wikipedia.org/wiki/Variations_of_magenta#Ultra_pink,#FF6FFF,100%,44%,100%,300°,100%,72%,56%,100%
Sienna,https://en.wikipedia.org/wiki/Sienna,#882D17,53%,18%,9%,12°,71%,31%,83%,53%
Silver,https://en.wikipedia.org/wiki/Silver_(color),#C0C0C0,75%,75%,75%,—°,0%,75%,0%,75%
Silver chalice,https://en.wikipedia.org/wiki/Silver_(color)#Silver_chalice,#ACACAC,67%,67%,67%,—°,0%,67%,0%,67%
Silver Lake blue,https://en.wikipedia.org/wiki/Azure_(color)#Silver_Lake_blue,#5D89BA,36%,54%,73%,212°,40%,55%,50%,73%
Silver pink,https://en.wikipedia.org/wiki/Variations_of_pink#Silver_pink,#C4AEAD,77%,68%,68%,3°,16%,72%,12%,77%
Silver sand,https://en.wikipedia.org/wiki/Silver_(color)#Silver_sand,#BFC1C2,75%,76%,76%,200°,2%,75%,2%,76%
Sinopia,https://en.wikipedia.org/wiki/Sinopia,#CB410B,80%,25%,4%,17°,90%,42%,95%,80%
Sizzling Red,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FF3855,100%,22%,33%,351°,100%,61%,78%,100%
Sizzling Sunrise,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#FFDB00,100%,86%,0%,52°,100%,50%,100%,100%
Skobeloff,https://en.wikipedia.org/wiki/Spring_green_(color)#Skobeloff,#007474,0%,45%,45%,180°,100%,23%,100%,45%
Sky blue,https://en.wikipedia.org/wiki/Sky_blue,#87CEEB,53%,81%,92%,197°,71%,73%,43%,92%
Sky magenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Sky_magenta,#CF71AF,81%,44%,69%,320°,49%,63%,45%,81%
Slate blue,https://en.wikipedia.org/wiki/X11_color_names#Color_names,#6A5ACD,42%,35%,80%,248°,53%,58%,56%,80%
Slate gray,https://en.wikipedia.org/wiki/Slate_gray,#708090,44%,50%,56%,210°,13%,50%,22%,56%
Smalt (Dark powder blue),https://en.wikipedia.org/wiki/Powder_blue,#003399,0%,20%,60%,220°,100%,30%,100%,60%
Slimy Green,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#299617,16%,59%,9%,111°,73%,34%,85%,59%
Smashed Pumpkin,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FF6D3A,100%,43%,23%,16°,100%,61%,77%,100%
Smitten,https://en.wikipedia.org/wiki/Red-violet#Smitten,#C84186,78%,25%,53%,329°,55%,52%,68%,78%
Smoke,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#738276,45%,51%,46%,132°,6%,48%,12%,51%
Smokey Topaz,https://en.wikipedia.org/wiki/Shades_of_brown#Smokey_topaz,#832A0D,51%,16%,13%,15°,59%,32%,90%,51%
Smoky black,https://en.wikipedia.org/wiki/Smoky_black,#100C08,6%,5%,3%,30°,33%,5%,50%,6%
Smoky Topaz,https://en.wikipedia.org/wiki/Topaz,#933D41,58%,24%,25%,357°,41%,41%,59%,58%
Snow,https://en.wikipedia.org/wiki/Shades_of_white#Snow,#FFFAFA,100%,98%,98%,0°,100%,99%,2%,76%
Soap,https://en.wikipedia.org/wiki/Lavender_(color)#Soap,#CEC8EF,81%,78%,94%,249°,55%,86%,16%,94%
Solid pink,https://en.wikipedia.org/wiki/Variations_of_pink#Solid_pink,#893843,54%,22%,26%,352°,42%,38%,59%,54%
Sonic silver,https://en.wikipedia.org/wiki/Silver_(color)#Sonic_silver,#757575,46%,46%,46%,—°,0%,46%,0%,46%
Spartan Crimson,https://en.wikipedia.org/wiki/Crimson_(color)#Spartan_Crimson,#9E1316,62%,7%,9%,359°,79%,35%,88%,62%
Space cadet,https://en.wikipedia.org/wiki/Cadet_grey#Space_cadet,#1D2951,11%,16%,32%,226°,47%,22%,64%,32%
Spanish bistre,https://en.wikipedia.org/wiki/Bistre#Spanish_bistre,#807532,50%,46%,20%,52°,44%,35%,61%,50%
Spanish blue,https://en.wikipedia.org/wiki/Variations_of_blue#Spanish_blue,#0070B8,0%,44%,72%,203°,100%,36%,100%,72%
Spanish carmine,https://en.wikipedia.org/wiki/Carmine_(color)#Spanish_carmine,#D10047,82%,0%,28%,340°,100%,41%,100%,82%
Spanish crimson,https://en.wikipedia.org/wiki/Crimson#Spanish_crimson,#E51A4C,90%,10%,30%,345°,80%,50%,89%,90%
Spanish gray,https://en.wikipedia.org/wiki/Variations_of_gray#Spanish_gray,#989898,60%,60%,60%,—°,0%,60%,0%,60%
Spanish green,https://en.wikipedia.org/wiki/Shades_of_green#Spanish_green,#009150,0%,57%,31%,153°,100%,28%,100%,57%
Spanish orange,https://en.wikipedia.org/wiki/Shades_of_orange#Spanish_orange,#E86100,91%,38%,0%,25°,100%,45%,100%,91%
Spanish pink,https://en.wikipedia.org/wiki/Variations_of_pink#Spanish_pink,#F7BFBE,97%,75%,75%,1°,78%,86%,23%,97%
Spanish red,https://en.wikipedia.org/wiki/Shades_of_red#Spanish_red,#E60026,90%,0%,15%,350°,100%,45%,100%,90%
Spanish sky blue,https://en.wikipedia.org/wiki/Sky_blue#Spanish_sky_blue,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%
Spanish violet,https://en.wikipedia.org/wiki/Shades_of_violet#Spanish_violet,#4C2882,30%,16%,51%,264°,53%,33%,69%,51%
Spanish viridian,https://en.wikipedia.org/wiki/Viridian#Spanish_viridian,#007F5C,0%,50%,36%,163°,100%,25%,100%,50%
Spicy mix,https://en.wikipedia.org/wiki/Spice_mix,#8B5f4D,55%,37%,30%,17°,29%,42%,45%,55%
Spiro Disco Ball,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors,#0FC0FC,6%,75%,99%,195°,98%,52%,94%,99%
Spring bud,https://en.wikipedia.org/wiki/Spring_bud,#A7FC00,65%,99%,0%,80°,100%,49%,100%,99%
Spring Frost,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Extreme_Twistables_colors,#87FF2A,53%,100%,16%,94°,100%,58%,84%,100%
Spring green,https://en.wikipedia.org/wiki/Spring_green_(color),#00FF7F,0%,100%,50%,150°,100%,50%,100%,100%
Star command blue,https://en.wikipedia.org/wiki/Cadet_grey#Star_command_blue,#007BB8,0%,48%,72%,200°,100%,36%,100%,72%
Steel blue,https://en.wikipedia.org/wiki/Steel_blue,#4682B4,27%,51%,71%,207°,44%,49%,61%,71%
Steel pink,https://en.wikipedia.org/wiki/Variations_of_pink#Steel_pink,#CC33CC,80%,20%,80%,300°,60%,50%,75%,80%
Steel Teal,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#5F8A8B,37%,54%,55%,181°,19%,46%,32%,55%
Stil de grain yellow,https://en.wikipedia.org/wiki/Stil_de_grain_yellow,#FADA5E,98%,85%,37%,48°,94%,67%,62%,98%
Stizza,https://en.wikipedia.org/wiki/Shades_of_red#OU_Crimson,#990000,60%,0%,0%,0°,100%,30%,100%,60%
Stormcloud,https://en.wikipedia.org/wiki/Stormcloud,#4F666A,31%,40%,42%,189°,15%,36%,25%,42%
Straw,https://en.wikipedia.org/wiki/Straw_(colour),#E4D96F,89%,85%,44%,54°,68%,66%,51%,89%
Strawberry,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#FC5A8D,99%,35%,55%,341°,96%,67%,64%,99%
Sugar Plum,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silver_Swirls,#914E75,57%,31%,46%,325°,30%,44%,46%,57%
Sunburnt Cyclops,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Silly_Scents,#FF404C,100%,25%,30%,356°,100%,63%,75%,100%
Sunglow,https://en.wikipedia.org/wiki/Sunset_(color)#Sunglow,#FFCC33,100%,80%,20%,45°,100%,60%,80%,100%
Sunny,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Pearl_Brite,#F2F27A,95%,95%,48%,60°,82%,71%,50%,95%
Sunray,https://en.wikipedia.org/wiki/Sunset_(color)#Sunray,#E3AB57,89%,67%,34%,36°,71%,62%,62%,89%
Sunset,https://en.wikipedia.org/wiki/Sunset_(color),#FAD6A5,98%,84%,65%,35°,89%,81%,34%,98%
Sunset orange,https://en.wikipedia.org/wiki/Sunset_(color)#Sunset_orange,#FD5E53,99%,37%,33%,4°,98%,66%,67%,99%
Super pink,https://en.wikipedia.org/wiki/Variations_of_pink#Super_pink,#CF6BA9,81%,42%,66%,323°,51%,62%,48%,81%
Sweet Brown,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#A83731,66%,22%,19%,3°,55%,43%,71%,66%
Tan,https://en.wikipedia.org/wiki/Tan_(color),#D2B48C,82%,71%,55%,34°,44%,69%,33%,82%
Tangelo,https://en.wikipedia.org/wiki/Shades_of_orange#Tangelo,#F94D00,98%,30%,0%,19°,100%,49%,100%,98%
Tangerine,https://en.wikipedia.org/wiki/Tangerine_(color),#F28500,95%,52%,0%,33°,100%,47%,100%,95%
Tangerine yellow,https://en.wikipedia.org/wiki/School_bus_yellow#Computer_monitor_display,#FFCC00,100%,80%,0%,48°,100%,50%,100%,100%
Tango pink,https://en.wikipedia.org/wiki/Shades_of_pink#Tango_pink,#E4717A,89%,44%,48%,355°,68%,67%,50%,89%
Tart Orange,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Heads_.27n_Tails,#FB4D46,98%,30%,27%,2°,96%,63%,72%,98%
Taupe,https://en.wikipedia.org/wiki/Taupe,#483C32,28%,24%,20%,27°,18%,24%,31%,28%
Taupe gray,https://en.wikipedia.org/wiki/Taupe#Taupe_gray,#8B8589,55%,52%,54%,320°,3%,53%,4%,55%
Tea green,https://en.wikipedia.org/wiki/Shades_of_green#Tea_green,#D0F0C0,82%,94%,75%,100°,62%,85%,20%,94%
Tea rose,https://en.wikipedia.org/wiki/Shades_of_orange#Tea_rose,#F88379,97%,51%,47%,5°,90%,72%,51%,97%
Tea rose,https://en.wikipedia.org/wiki/Rose_(color)#Tea_rose,#F4C2C2,96%,76%,76%,0°,69%,86%,20%,96%
Teal,https://en.wikipedia.org/wiki/Teal_(color)#Teal,#008080,0%,50%,50%,180°,100%,25%,100%,50%
Teal blue,https://en.wikipedia.org/wiki/Teal_(color)#Teal_blue,#367588,21%,46%,53%,194°,43%,37%,60%,53%
Teal deer,https://en.wikipedia.org/wiki/Teal,#99E6B3,60%,90%,70%,140°,61%,75%,33%,90%
Teal green,https://en.wikipedia.org/wiki/Teal_(color)#Teal_green,#00827F,0%,51%,50%,179°,100%,25%,100%,51%
Telemagenta,https://en.wikipedia.org/wiki/Variations_of_magenta#Telemagenta,#CF3476,81%,20%,46%,334°,62%,51%,75%,81%
Tenné,https://en.wikipedia.org/wiki/Tawny_(color),#CD5700,80%,34%,0%,25°,100%,40%,100%,80%
Terra cotta,https://en.wikipedia.org/wiki/Terracotta#Color,#E2725B,89%,45%,36%,10°,70%,62%,60%,89%
Thistle,https://en.wikipedia.org/wiki/Thistle_(color),#D8BFD8,85%,75%,85%,300°,24%,80%,12%,85%
Thulian pink,https://en.wikipedia.org/wiki/Rose_(color)#Thulian_pink,#DE6FA1,87%,44%,63%,333°,63%,65%,50%,87%
Tickle Me Pink,https://en.wikipedia.org/wiki/Rose_(color)#Tickle_me_pink,#FC89AC,99%,54%,67%,342°,95%,76%,46%,99%
Tiffany Blue,https://en.wikipedia.org/wiki/Tiffany_Blue#Tiffany_Blue,#0ABAB5,4%,73%,71%,178°,90%,38%,95%,73%
Tiger's eye,https://en.wikipedia.org/wiki/Tiger%27s_eye,#E08D3C,88%,55%,24%,30°,73%,56%,73%,88%
Timberwolf,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#DBD7D2,86%,84%,82%,33°,11%,84%,4%,86%
Titanium yellow,https://en.wikipedia.org/wiki/Titanium_yellow,#EEE600,93%,90%,0%,58°,100%,47%,100%,93%
Tomato,https://en.wikipedia.org/wiki/Tomato_(color),#FF6347,100%,39%,28%,9°,100%,64%,72%,100%
Toolbox,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#746CC0,45%,42%,75%,246°,40%,59%,44%,75%
Topaz,https://en.wikipedia.org/wiki/Topaz,#FFC87C,100%,78%,49%,35°,100%,74%,51%,100%
Tractor red,https://en.wikipedia.org/wiki/Scarlet_(color)#Tractor_red,#FD0E35,99%,5%,21%,350°,98%,52%,94%,99%
Trolley Grey,https://en.wikipedia.org/wiki/Grey,#808080,50%,50%,50%,—°,0%,50%,0%,50%
Tropical rain forest,https://en.wikipedia.org/wiki/Jungle_green#Tropical_rain_forest,#00755E,0%,46%,37%,168°,100%,23%,100%,46%
Tropical violet,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors,#CDA4DE,80%,64%,87%,282°,47%,76%,26%,87%
True Blue,https://en.wikipedia.org/wiki/True_Blue_(color),#0073CF,0%,45%,81%,207°,100%,41%,100%,81%
Tufts Blue,https://en.wikipedia.org/wiki/Tufts_Blue,#417DC1,25%,49%,76%,212°,51%,51%,66%,76%
Tulip,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Magic_Scent,#FF878D,100%,53%,55%,357°,100%,76%,47%,100%
Tumbleweed,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors,#DEAA88,87%,67%,53%,24°,57%,70%,39%,87%
Turkish rose,https://en.wikipedia.org/wiki/Rose_(color)#Turkish_Rose,#B57281,71%,45%,51%,347°,31%,58%,37%,71%
Turquoise,https://en.wikipedia.org/wiki/Turquoise_(color),#40E0D0,25%,88%,82%,174°,72%,56%,71%,88%
Turquoise blue,https://en.wikipedia.org/wiki/Turquoise_(color)#Turquoise_Blue,#00FFEF,0%,100%,94%,176°,100%,50%,100%,100%
Turquoise green,https://en.wikipedia.org/wiki/Turquoise_(color)#Turquoise_Green,#A0D6B4,63%,84%,71%,142°,40%,73%,25%,84%
Turquoise Surf,https://en.wikipedia.org/wiki/List_of_Crayola_marker_colors#Standard_colors,#00C5CD,0%,77%,80%,182°,100%,40%,100%,80%
Turtle green,https://en.wikipedia.org/wiki/Chartreuse_(color)#Turtle_green,#8A9A5B,54%,60%,36%,75°,26%,48%,41%,60%
Tuscan,https://en.wikipedia.org/wiki/Beige#Tuscan,#FAD6A5,98%,84%,65%,35°,89%,81%,34%,98%
Tuscan brown,https://en.wikipedia.org/wiki/Tuscan_red#Tuscan_brown,#6F4E37,44%,31%,22%,25°,34%,33%,50%,44%
Tuscan red,https://en.wikipedia.org/wiki/Tuscan_red,#7C4848,49%,28%,28%,0°,27%,38%,42%,49%
Tuscan tan,https://en.wikipedia.org/wiki/Tan_(color)#Tuscan_tan,#A67B5B,65%,48%,36%,26°,30%,50%,45%,65%
Tuscany,https://en.wikipedia.org/wiki/Tuscan_red#Tuscany,#C09999,75%,60%,60%,0°,24%,68%,20%,75%
Twilight lavender,https://en.wikipedia.org/wiki/Lavender_(color)#Twilight_lavender,#8A496B,54%,29%,42%,329°,31%,41%,47%,54%
Tyrian purple,https://en.wikipedia.org/wiki/Tyrian_purple#Tyrian_purple,#66023C,40%,1%,24%,325°,96%,20%,98%,40%
UA blue,https://en.wikipedia.org/wiki/University_of_Arizona#School_colors,#0033AA,0%,20%,67%,222°,100%,33%,100%,67%
UA red,https://en.wikipedia.org/wiki/University_of_Arizona#School_colors,#D9004C,85%,0%,30%,339°,100%,43%,100%,85%
Ube,https://en.wikipedia.org/wiki/Lavender_(color)#.C3.9Abe,#8878C3,53%,47%,76%,253°,39%,62%,38%,76%
UCLA Blue,https://en.wikipedia.org/wiki/UCLA_Blue,#536895,33%,41%,58%,221°,28%,46%,44%,58%
UCLA Gold,https://en.wikipedia.org/wiki/UCLA,#FFB300,100%,70%,0%,42°,100%,50%,100%,100%
UFO Green,https://en.wikipedia.org/wiki/List_of_Crayola_colored_pencil_colors#Standard_colors,#3CD070,24%,82%,44%,141°,61%,53%,71%,82%
Ultramarine,https://en.wikipedia.org/wiki/Ultramarine,#3F00FF,7%,4%,56%,244°,87%,30%,93%,56%
Ultramarine blue,https://en.wikipedia.org/wiki/Ultramarine#Ultramarine_blue,#4166F5,25%,40%,96%,228°,90%,61%,73%,96%
Ultra pink,https://en.wikipedia.org/wiki/Variations_of_magenta#Ultra_pink,#FF6FFF,100%,44%,100%,300°,100%,72%,56%,100%
Ultra red,https://en.wikipedia.org/wiki/Carmine_(color)#Ultra_red,#FC6C85,99%,42%,52%,350°,96%,71%,57%,99%
Umber,https://en.wikipedia.org/wiki/Umber#Umber,#635147,39%,32%,28%,21°,16%,33%,28%,39%
Unbleached silk,https://en.wikipedia.org/wiki/Beige#Unbleached_silk,#FFDDCA,100%,87%,79%,22°,100%,90%,21%,100%
United Nations blue,https://en.wikipedia.org/wiki/Azure_(color)#United_Nations_blue,#5B92E5,36%,57%,90%,216°,73%,63%,60%,90%
University of California Gold,https://en.wikipedia.org/wiki/Gold_(color)#University_of_California_Gold,#B78727,72%,53%,15%,40°,65%,44%,79%,72%
Unmellow yellow,https://en.wikipedia.org/wiki/Shades_of_yellow#Unmellow_yellow,#FFFF66,100%,100%,40%,60°,100%,70%,60%,100%
UP Forest green,https://en.wikipedia.org/wiki/Shades_of_green#UP_Forest_Green,#014421,0%,27%,13%,149°,97%,14%,99%,27%
UP Maroon,https://en.wikipedia.org/wiki/Maroon_(color)#UP_maroon,#7B1113,48%,7%,7%,359°,76%,27%,86%,48%
Upsdell red,https://en.wikipedia.org/wiki/Upsdell_red,#AE2029,68%,13%,16%,356°,69%,40%,82%,68%
Urobilin,https://en.wikipedia.org/wiki/Urobilin,#E1AD21,88%,68%,13%,44°,76%,51%,85%,88%
USAFA blue,https://en.wikipedia.org/wiki/Air_Force_blue#USAFA_blue,#004F98,0%,31%,60%,209°,100%,30%,100%,60%
USC Cardinal,https://en.wikipedia.org/wiki/University_of_Southern_California,#990000,60%,0%,0%,0°,100%,30%,100%,60%
USC Gold,https://en.wikipedia.org/wiki/University_of_Southern_California,#FFCC00,100%,80%,0%,48°,100%,50%,100%,100%
University of Tennessee Orange,https://en.wikipedia.org/wiki/University_of_Tennessee,#F77F00,97%,50%,0%,31°,100%,48%,100%,97%
Utah Crimson,https://en.wikipedia.org/wiki/Crimson#Utah_crimson,#D3003F,83%,0%,25%,342°,100%,41%,100%,83%
Van Dyke Brown,https://en.wikipedia.org/wiki/List_of_Crayola_crayon_colors#Standard_colors,#664228,40%,26%,16%,25°,44%,28%,60%,0%
Vanilla,https://en.wikipedia.org/wiki/Vanilla_(color),#F3E5AB,95%,90%,67%,48°,75%,81%,30%,95%
Vanilla ice,https://en.wikipedia.org/wiki/Vanilla_(color)#Vanilla_ice,#F38FA9,95%,56%,66%,344°,81%,76%,41%,95%
Vegas gold,https://en.wikipedia.org/wiki/Gold_(color)#Vegas_gold,#C5B358,77%,70%,35%,50°,48%,56%,55%,77%
Venetian red,https://en.wikipedia.org/wiki/Venetian_red,#C80815,78%,3%,8%,356°,92%,41%,96%,78%
Verdigris,https://en.wikipedia.org/wiki/Verdigris,#43B3AE,26%,70%,68%,177°,46%,48%,63%,70%
Vermilion,https://en.wikipedia.org/wiki/Vermilion,#E34234,89%,26%,20%,5°,76%,55%,77%,89%
Vermilion,https://en.wikipedia.org/wiki/Vermilion#Medium_vermilion,#D9381E,85%,22%,12%,8°,76%,48%,86%,85%
Veronica,https://en.wikipedia.org/wiki/Shades_of_purple#Purple_.28X11_color.29_.28veronica.29,#A020F0,63%,13%,94%,277°,87%,53%,87%,94%
